id,domain,module,priority,question,expected_evidence,result,notes
F001,Functional,Authentication & Onboarding,High,"Can a new user create an account using email and password?","UI flow; API endpoint; DB records; automated tests",TBD,
F002,Functional,Authentication & Onboarding,Medium,"Can a user register using Google, Apple, or another federated identity provider?","OAuth flow; API config; login audit; automated tests",TBD,
F003,Functional,Authentication & Onboarding,High,"Can registration require email verification before access is granted?","Verification workflow; token handling; email logs; tests",TBD,
F004,Functional,Localization,High,"Can the platform support Polish language as a full primary interface?","Localized UI; translation files; locale switch; tests",TBD,
F005,Functional,Localization,Medium,"Can the platform support English as a secondary interface?","Localized UI; translation files; locale switch; tests",TBD,
F006,Functional,Settings & Currency,High,"Can a user define PLN as the default base currency?","Settings UI; currency config; DB field; tests",TBD,
F007,Functional,Settings & Currency,High,"Can a user later change the base currency without corrupting historical data?","Conversion logic; migration handling; reports; tests",TBD,
F008,Functional,Tenant & Workspace,Medium,"Can one user manage multiple households, personal profiles, or finance spaces?","Workspace model; UI switcher; authorization checks; tests",TBD,
F009,Functional,Tenant & Workspace,Medium,"Can a user create separate portfolios for personal finances, family finances, and business-like side activity?","Portfolio model; UI flows; DB separation; tests",TBD,
F010,Functional,Collaboration,Medium,"Can a user invite a spouse, partner, accountant, or advisor with limited permissions?","Invite flow; role assignment; email invite; tests",TBD,
F011,Functional,Collaboration,High,"Can permissions distinguish owner, editor, read-only viewer, and auditor roles?","RBAC matrix; server authorization; UI role controls; tests",TBD,
F012,Functional,Audit Trail,High,"Can the system maintain a full audit trail of who changed what and when?","Audit logs; before/after values; timestamps; tests",TBD,
F013,Functional,Accounts,High,"Can a user add manual bank accounts without connecting to a bank feed?","Manual account UI; DB schema; balance handling; tests",TBD,
F014,Functional,Open Banking,High,"Can a user connect Polish bank accounts through open banking integrations?","Bank connection flow; provider integration; consent records; tests",TBD,
F015,Functional,Open Banking,High,"Can the user refresh connected account balances on demand?","Refresh action; sync job; updated balances; tests",TBD,
F016,Functional,Open Banking,High,"Can the system detect when bank consent has expired and guide the user to renew it?","Consent expiry logic; UI prompt; logs; tests",TBD,
F017,Functional,Open Banking,Medium,"Can a user connect more than one account from the same bank?","Provider mapping; account linking; UI state; tests",TBD,
F018,Functional,Open Banking,High,"Can a user connect accounts from multiple Polish banks in one profile?","Multi-bank support; account aggregation; tests",TBD,
F019,Functional,Accounts,Low,"Can a user mark an account as hidden from dashboards without deleting it?","Hidden flag; dashboard filters; tests",TBD,
F020,Functional,Accounts,Medium,"Can a user archive an account while preserving history?","Archive workflow; data retention; reports; tests",TBD,
F021,Functional,Cash Tracking,High,"Can a user create cash wallets for physical cash in PLN, EUR, USD, and other currencies?","Wallet model; multi-currency support; UI; tests",TBD,
F022,Functional,Cash Tracking,Medium,"Can a user record cash held in multiple locations such as wallet, home safe, or office drawer?","Location field; balance views; tests",TBD,
F023,Functional,Accounts,Medium,"Can a user track prepaid cards, gift cards, and payment wallet balances?","Account types; UI; ledger handling; tests",TBD,
F024,Functional,Accounts,High,"Can a user track debit, credit, savings, brokerage, pension, and loan accounts in one system?","Account taxonomy; reports; UI; tests",TBD,
F025,Functional,Balances,High,"Can a user see current balance, available balance, and booked balance separately where relevant?","Balance model; UI cards; provider mapping; tests",TBD,
F026,Functional,Transactions,High,"Can the platform distinguish cleared transactions from pending transactions?","Transaction status model; UI; sync mapping; tests",TBD,
F027,Functional,Transactions,High,"Can the platform ingest historical transactions from bank feeds for a configurable lookback period?","Sync config; provider requests; imported history; tests",TBD,
F028,Functional,Imports,High,"Can a user import transactions from CSV, XLSX, or PDF statements?","Import UI; parsers; sample files; tests",TBD,
F029,Functional,Imports,High,"Can imported files be mapped interactively to account, date, amount, merchant, currency, and category fields?","Mapping UI; parser rules; saved mappings; tests",TBD,
F030,Functional,Imports,High,"Can duplicate transactions be detected across imports and bank syncs?","Dedup logic; matching rules; test cases",TBD,
F031,Functional,Transactions,High,"Can a user manually create income, expense, transfer, refund, fee, and adjustment transactions?","Transaction form; API; ledger entries; tests",TBD,
F032,Functional,Transfers,High,"Can internal transfers between own accounts be recognized automatically instead of counted as income and expense?","Transfer detection rules; reports; tests",TBD,
F033,Functional,Transactions,High,"Can a user split one transaction into multiple categories?","Split UI; ledger logic; reports; tests",TBD,
F034,Functional,Transactions,Medium,"Can a user attach notes, files, receipts, or invoice images to a transaction?","Attachment flow; storage handling; UI; tests",TBD,
F035,Functional,Transactions,Medium,"Can a user add VAT-related or tax-related tags to a transaction for later filtering?","Tag model; filter UI; export fields; tests",TBD,
F036,Functional,Categorization,High,"Can a user define custom categories and subcategories?","Category management UI; DB model; tests",TBD,
F037,Functional,Categorization,Medium,"Can default categories be localized for Polish spending habits such as czynsz, media, paliwo, rata, and BLIK transfer?","Localized seed data; UI labels; tests",TBD,
F038,Functional,Categorization,High,"Can a user create rule-based auto-categorization by merchant, amount range, keyword, bank account, or transaction type?","Rules engine; UI builder; rule tests",TBD,
F039,Functional,Categorization,High,"Can categorization rules be prioritized and conflict-resolved predictably?","Rule priority model; test cases; logs",TBD,
F040,Functional,Categorization,High,"Can a user bulk recategorize past transactions after changing a rule?","Bulk update flow; background job; tests",TBD,
F041,Functional,Categorization,Medium,"Can the system learn from repeated user corrections to suggested categories?","Suggestion model; feedback loop; tests",TBD,
F042,Functional,Recurring Transactions,High,"Can recurring income and recurring expenses be detected automatically?","Pattern detection logic; UI suggestions; tests",TBD,
F043,Functional,Planning,High,"Can a user schedule planned transactions that have not yet happened?","Planned transaction model; calendar view; tests",TBD,
F044,Functional,Planning,High,"Can the system compare planned versus actual cash flow by category and month?","Reporting logic; charts; tests",TBD,
F045,Functional,Budgeting,High,"Can a user build monthly, quarterly, and annual budgets?","Budget UI; DB model; reports; tests",TBD,
F046,Functional,Budgeting,High,"Can budgets be created per category, subcategory, account, or portfolio?","Budget dimensions; UI; tests",TBD,
F047,Functional,Budgeting,Medium,"Can the platform support rollover budgets from one month to the next?","Rollover logic; settings; tests",TBD,
F048,Functional,Budgeting,Medium,"Can a user configure alerts when spending reaches 50 percent, 80 percent, 100 percent, and over-budget levels?","Alert rules; notification engine; tests",TBD,
F049,Functional,Budgeting,Medium,"Can a user view budget performance in both absolute amounts and percentages?","Dashboard widgets; calculations; tests",TBD,
F050,Functional,Budgeting,Medium,"Can a user exclude selected transactions from budgets without deleting them?","Exclude flag; UI control; tests",TBD,
F051,Functional,Analytics,Medium,"Can a user mark certain inflows or outflows as one-off and exclude them from trend analysis?","Flags; reporting filters; tests",TBD,
F052,Functional,Search & Filters,High,"Can a user search all transactions by merchant, note, tag, amount, category, or date range?","Search index; filter UI; API; tests",TBD,
F053,Functional,Search & Filters,Medium,"Can filters be combined and saved as reusable views?","Saved view model; UI; tests",TBD,
F054,Functional,Dashboards,Medium,"Can a user create custom dashboards for spending, net worth, cash flow, and investment performance?","Dashboard builder; widgets; tests",TBD,
F055,Functional,Dashboards,High,"Can a dashboard show balances by institution, account, currency, and asset class?","Aggregation logic; charts; tests",TBD,
F056,Functional,Net Worth,High,"Can the system calculate total net worth across cash, bank balances, investments, receivables, liabilities, and suspended funds?","Net worth engine; reports; tests",TBD,
F057,Functional,Net Worth,High,"Can the user choose whether suspended or blocked funds count toward net worth, liquid cash, or neither?","Configuration rules; calculations; tests",TBD,
F058,Functional,Reserves & Funds,Medium,"Can a user track money reserved for taxes, rent, travel, emergency fund, or sinking funds?","Reserve buckets; UI; reports; tests",TBD,
F059,Functional,Reserves & Funds,High,"Can earmarked or reserved money reduce available-to-spend cash while staying in the same bank account?","Available balance logic; UI; tests",TBD,
F060,Functional,Reserves & Funds,Medium,"Can the system support envelopes, jars, or virtual sub-balances inside one account?","Sub-balance model; UX; tests",TBD,
F061,Functional,Assets,Medium,"Can a user create manual assets such as gold, collectibles, art, watches, or foreign cash?","Manual asset forms; valuation fields; tests",TBD,
F062,Functional,Liabilities,High,"Can the system track liabilities such as mortgages, personal loans, credit cards, tax debt, and installment plans?","Liability model; schedules; reports; tests",TBD,
F063,Functional,Liabilities,High,"Can liabilities show principal, interest, due date, next installment, and payoff schedule?","Amortization logic; detail UI; tests",TBD,
F064,Functional,Analytics,Medium,"Can the platform calculate debt-to-income and savings-rate style indicators?","Calculation formulas; dashboard widgets; tests",TBD,
F065,Functional,Forecasting,Medium,"Can a user model future cash flow based on known recurring commitments?","Forecast engine; schedule data; tests",TBD,
F066,Functional,Calendar,Medium,"Can the system provide calendar views of upcoming bills, salaries, subscriptions, and loan payments?","Calendar UI; scheduled item model; tests",TBD,
F067,Functional,Subscriptions,Medium,"Can a user track subscriptions and detect price changes over time?","Recurring merchant logic; change detection; tests",TBD,
F068,Functional,Analytics,Medium,"Can the platform identify unusual spending spikes relative to prior periods?","Anomaly detection logic; insights UI; tests",TBD,
F069,Functional,Categorization,Low,"Can a user define needs vs wants or other custom classification layers on top of categories?","Custom dimensions; UI; reports; tests",TBD,
F070,Functional,Exports,High,"Can the user export all transactions and balances for offline analysis?","Export endpoints; CSV/XLSX output; tests",TBD,
F071,Functional,Exports,High,"Can exports preserve original identifiers so the data can be reconciled later?","Export schema; source IDs; tests",TBD,
F072,Functional,Integrations,Medium,"Can the system expose an API or integration layer for external reporting tools?","API docs; auth; endpoints; tests",TBD,
F073,Functional,Investments,High,"Can the user add a brokerage account manually if no integration exists?","Manual account flow; holdings model; tests",TBD,
F074,Functional,Investments,High,"Can the platform connect to investment accounts and keep holdings synchronized?","Broker integration; sync jobs; tests",TBD,
F075,Functional,Investments,High,"Can the platform support Polish and foreign securities in one portfolio?","Instrument model; multi-market support; tests",TBD,
F076,Functional,Investments,High,"Can a user track stocks, ETFs, bonds, mutual funds, options, futures, and structured products?","Asset-type support; UI; reports; tests",TBD,
F077,Functional,Investments,High,"Can a user track units, cost basis, fees, taxes, dividends, and realized gains per instrument?","Holding ledger; calculations; tests",TBD,
F078,Functional,Investments,High,"Can the system support multiple cost-basis methods such as FIFO, average cost, or custom-lot selection?","Tax lot engine; settings; tests",TBD,
F079,Functional,Investments,Medium,"Can dividends be tracked as cash income and linked back to the source holding?","Dividend events; cash ledger link; tests",TBD,
F080,Functional,Investments,Medium,"Can the system track dividend reinvestment correctly?","DRIP handling; units update; tests",TBD,
F081,Functional,Corporate Actions,High,"Can stock splits, reverse splits, mergers, delistings, and symbol changes be handled without data loss?","Corporate action engine; migration tests",TBD,
F082,Functional,Investments,High,"Can the platform distinguish market value, cost value, unrealized gain, and realized gain?","Portfolio analytics; reports; tests",TBD,
F083,Functional,Investments,Medium,"Can the user see portfolio allocation by asset class, geography, sector, and currency?","Allocation logic; charts; tests",TBD,
F084,Functional,Investments,Medium,"Can the user define target allocation and measure drift from target?","Target settings; drift calculations; tests",TBD,
F085,Functional,Watchlists,Low,"Can the system support watchlists separate from owned investments?","Watchlist UI; DB model; tests",TBD,
F086,Functional,Private Investments,Medium,"Can a user record private equity, startup investments, crowdfunding, and angel investments manually?","Manual asset forms; custom fields; tests",TBD,
F087,Functional,Bonds,Medium,"Can the system track bonds with coupon schedule, maturity date, and accrued interest?","Bond model; schedule logic; tests",TBD,
F088,Functional,Retirement,Medium,"Can the system support pension and retirement wrappers relevant to Polish users, such as separate tax-advantaged buckets, even if treated as generic account types?","Account taxonomy; tax wrapper fields; tests",TBD,
F089,Functional,Real Estate,Medium,"Can the user track real estate investments, including current estimated value, purchase cost, rent income, and expenses?","Property model; valuation history; cash flow; tests",TBD,
F090,Functional,Crypto,High,"Can the platform track crypto wallets, exchange accounts, and DeFi positions?","Wallet/exchange models; sync logic; tests",TBD,
F091,Functional,Crypto,High,"Can the system support transfers between exchange, on-chain wallet, and cold wallet without double counting?","Transfer matching logic; ledger tests",TBD,
F092,Functional,Crypto,High,"Can crypto assets include token quantity, acquisition cost, average price, market value, and realized gains?","Crypto holding model; valuation engine; tests",TBD,
F093,Functional,Crypto,Medium,"Can the system capture staking rewards, airdrops, forks, and lending yields as distinct event types?","Event taxonomy; posting rules; tests",TBD,
F094,Functional,Crypto,Medium,"Can the platform support manual entry when automated crypto integration is unavailable?","Manual transaction flow; wallet model; tests",TBD,
F095,Functional,Alternative Assets,Low,"Can the user track precious metals, commodities, and other non-standard investments?","Custom asset support; valuation fields; tests",TBD,
F096,Functional,Receivables,High,"Can the system support lending money to friends or family as a tracked receivable?","Receivable model; transaction links; tests",TBD,
