audit_id,domain,module,priority,weight,release_blocker,verdict,confidence_score,question,gap_summary,remediation_hint,code_references,missing_artifacts,owner,risk_level,estimated_fix_scope,compliance_tag,notes
F003,Functional,Authentication & Onboarding,High,7,YES,NOT_SUPPORTED,100,Can registration require email verification before access is granted?,No email verification workflow,Add is_email_verified logic to auth flow,app/api/v1/endpoints/auth.py,"Verification email sender, verification token model, /verify endpoint",Backend/Security,CRITICAL,L,AccessControl,
F011,Functional,Collaboration,High,7,YES,NOT_SUPPORTED,100,"Can permissions distinguish owner, editor, read-only viewer, and auditor roles?",No role-based access control,Add Role enums and authorization dependencies,app/models/user.py,"Roles table, permission matrix, UI editor",Backend/Security,CRITICAL,L,,
F012,Functional,Audit Trail,High,7,YES,NOT_SUPPORTED,100,Can the system maintain a full audit trail of who changed what and when?,Zero audit traceability for changes,Implement SQLAlchemy event listeners for audit rows,None,"AuditLog model, middleware, event dispatchers",Backend/Security,CRITICAL,L,Auditability,
F014,Functional,Open Banking,High,7,YES,NOT_SUPPORTED,100,Can a user connect Polish bank accounts through open banking integrations?,Cannot connect via Open Banking,Add open-banking module,None,Account provider adapters,Backend/BA,CRITICAL,XL,OpenBanking,
F015,Functional,Open Banking,High,7,YES,NOT_SUPPORTED,100,Can the user refresh connected account balances on demand?,Cannot sync balances,Add Plaid / GoCardless integration,None,Sync jobs,Backend/BA,CRITICAL,XL,OpenBanking,
F016,Functional,Open Banking,High,7,YES,NOT_SUPPORTED,100,Can the system detect when bank consent has expired and guide the user to renew it?,No consent tracking,Add Consent entity,None,Db records for consent expiry,Backend/BA,CRITICAL,XL,OpenBanking,
F018,Functional,Open Banking,High,7,YES,NOT_SUPPORTED,100,Can a user connect accounts from multiple Polish banks in one profile?,No aggregation,Add provider interface,None,Provider aggregation,Backend/BA,CRITICAL,XL,OpenBanking,
F024,Functional,Accounts,High,7,YES,PARTIALLY_SUPPORTED,50,"Can a user track debit, credit, savings, brokerage, pension, and loan accounts in one system?",Accounts are fragmented across different tables,Use polymorphism or unify ledgers,"app/models/account.py, investment_account.py",Unified dashboard for all types,Backend/BA,HIGH,M,,
F025,Functional,Balances,High,7,YES,NOT_SUPPORTED,100,"Can a user see current balance, available balance, and booked balance separately where relevant?",No difference between cleared and available,Add booked_balance field and distinct calculation,"app/models/account.py, balance_snapshot.py",available/booked splits,Backend/BA,CRITICAL,L,,
F026,Functional,Transactions,High,7,YES,NOT_SUPPORTED,100,Can the platform distinguish cleared transactions from pending transactions?,Cannot track uncleared items,Add is_cleared or status to entries,app/models/expense_item.py,status enum on transactions,Backend/BA,CRITICAL,L,,
F027,Functional,Transactions,High,7,YES,NOT_SUPPORTED,100,Can the platform ingest historical transactions from bank feeds for a configurable lookback period?,No import limits or lookbacks,Implement backfill logic,None,Data loaders,Backend/BA,CRITICAL,L,,
F028,Functional,Imports,High,7,YES,NOT_SUPPORTED,100,"Can a user import transactions from CSV, XLSX, or PDF statements?",Cannot manually upload statements,Add parsing service,None,"Parser classes, upload endpoints",Backend/BA,CRITICAL,L,,
F029,Functional,Imports,High,7,YES,NOT_SUPPORTED,100,"Can imported files be mapped interactively to account, date, amount, merchant, currency, and category fields?",Cannot map imported columns,Add ImportMapping models,None,Mapping DB config,Backend/BA,CRITICAL,L,,
F030,Functional,Imports,High,7,YES,NOT_SUPPORTED,100,Can duplicate transactions be detected across imports and bank syncs?,Imports would duplicate data,Add transaction hash field on save,None,source_hash columns,Backend/BA,CRITICAL,L,,
F032,Functional,Transfers,High,7,YES,NOT_SUPPORTED,100,Can internal transfers between own accounts be recognized automatically instead of counted as income and expense?,Internal transfers counted as income/expense,Add InternalTransfer model linking two accounts,None,Transfer entity,Backend/BA,CRITICAL,L,,
F033,Functional,Transactions,High,7,YES,NOT_SUPPORTED,100,Can a user split one transaction into multiple categories?,Cannot split one receipt across categories,Migrate to a header->lines ledger design,app/models/expense_item.py,ExpenseLineItem or parent_id structure,Backend/BA,CRITICAL,L,,
F038,Functional,Categorization,High,7,YES,NOT_SUPPORTED,100,"Can a user create rule-based auto-categorization by merchant, amount range, keyword, bank account, or transaction type?",No auto-categorization,Implement simple rules engine based on merchant string,None,CategorizationRule model,Backend/BA,CRITICAL,L,,
F039,Functional,Categorization,High,7,YES,NOT_SUPPORTED,100,Can categorization rules be prioritized and conflict-resolved predictably?,No rules priority,Add priority to rules table,None,Rule priorities,Backend/BA,CRITICAL,L,,
F040,Functional,Categorization,High,7,YES,NOT_SUPPORTED,100,Can a user bulk recategorize past transactions after changing a rule?,Cannot retrospectively fix rules,Add celery task to re-run rules against past data,None,Bulk update logic,Backend/BA,CRITICAL,L,,
F043,Functional,Planning,High,7,YES,NOT_SUPPORTED,100,Can a user schedule planned transactions that have not yet happened?,Cannot schedule future unbooked items,Requires new epic,None,Feature absent,Backend/Frontend,CRITICAL,L,,
F044,Functional,Planning,High,7,YES,NOT_SUPPORTED,100,Can the system compare planned versus actual cash flow by category and month?,No variance reporting for plans,Requires new epic,None,Feature absent,Backend/Frontend,CRITICAL,L,,
F045,Functional,Budgeting,High,7,YES,NOT_SUPPORTED,100,"Can a user build monthly, quarterly, and annual budgets?",No core budgeting capability,Requires new epic,None,Feature absent,Backend/Frontend,CRITICAL,XL,,
