audit_id,domain,module,capability,feature_area,user_role,scenario_type,question,acceptance_intent,priority,weight,release_blocker,market_relevance_pl,data_sensitivity,security_impact,requires_backend,requires_frontend,requires_database,requires_api,requires_async_jobs,requires_integrations,requires_permissions,requires_audit_log,requires_encryption,expected_evidence,positive_code_signals,negative_code_signals,manual_test_steps,expected_outcome,edge_cases,dependencies,applicability,analysis_status,verdict,confidence_score,confidence_reason,code_references,api_endpoints,db_entities,ui_locations,test_artifacts,missing_artifacts,gap_summary,remediation_hint,owner,notes
F001,Functional,Authentication & Onboarding,,,End user,,Can a new user create an account using email and password?,,High,7,YES,NO,MEDIUM,LOW,YES,YES,YES,YES,NO,NO,NO,NO,NO,UI flow; API endpoint; DB records; automated tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F002,Functional,Authentication & Onboarding,,,End user,,"Can a user register using Google, Apple, or another federated identity provider?",,Medium,4,NO,NO,MEDIUM,LOW,YES,NO,NO,YES,NO,NO,NO,YES,NO,OAuth flow; API config; login audit; automated tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F003,Functional,Authentication & Onboarding,,,End user,,Can registration require email verification before access is granted?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Verification workflow; token handling; email logs; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F004,Functional,Localization,,,End user,,Can the platform support Polish language as a full primary interface?,,High,7,YES,YES,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Localized UI; translation files; locale switch; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F005,Functional,Localization,,,End user,,Can the platform support English as a secondary interface?,,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Localized UI; translation files; locale switch; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F006,Functional,Settings & Currency,,,End user,,Can a user define PLN as the default base currency?,,High,7,YES,YES,MEDIUM,LOW,NO,YES,YES,NO,NO,NO,NO,NO,NO,Settings UI; currency config; DB field; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F007,Functional,Settings & Currency,,,End user,,Can a user later change the base currency without corrupting historical data?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Conversion logic; migration handling; reports; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F008,Functional,Tenant & Workspace,,,End user,,"Can one user manage multiple households, personal profiles, or finance spaces?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Workspace model; UI switcher; authorization checks; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F009,Functional,Tenant & Workspace,,,End user,,"Can a user create separate portfolios for personal finances, family finances, and business-like side activity?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,YES,NO,NO,NO,NO,NO,NO,Portfolio model; UI flows; DB separation; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F010,Functional,Collaboration,,,End user,,"Can a user invite a spouse, partner, accountant, or advisor with limited permissions?",,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,YES,NO,NO,Invite flow; role assignment; email invite; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F011,Functional,Collaboration,,,End user,,"Can permissions distinguish owner, editor, read-only viewer, and auditor roles?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,YES,NO,NO,RBAC matrix; server authorization; UI role controls; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F012,Functional,Audit Trail,,,End user,,Can the system maintain a full audit trail of who changed what and when?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,YES,NO,Audit logs; before/after values; timestamps; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F013,Functional,Accounts,,,End user,,Can a user add manual bank accounts without connecting to a bank feed?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,YES,NO,NO,NO,NO,NO,NO,Manual account UI; DB schema; balance handling; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F014,Functional,Open Banking,,,End user,,Can a user connect Polish bank accounts through open banking integrations?,,High,7,YES,YES,MEDIUM,LOW,NO,NO,NO,NO,NO,YES,NO,NO,NO,Bank connection flow; provider integration; consent records; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F015,Functional,Open Banking,,,End user,,Can the user refresh connected account balances on demand?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,YES,NO,NO,NO,NO,Refresh action; sync job; updated balances; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F016,Functional,Open Banking,,,End user,,Can the system detect when bank consent has expired and guide the user to renew it?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Consent expiry logic; UI prompt; logs; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F017,Functional,Open Banking,,,End user,,Can a user connect more than one account from the same bank?,,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Provider mapping; account linking; UI state; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F018,Functional,Open Banking,,,End user,,Can a user connect accounts from multiple Polish banks in one profile?,,High,7,YES,YES,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Multi-bank support; account aggregation; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F019,Functional,Accounts,,,End user,,Can a user mark an account as hidden from dashboards without deleting it?,,Low,1,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Hidden flag; dashboard filters; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F020,Functional,Accounts,,,End user,,Can a user archive an account while preserving history?,,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Archive workflow; data retention; reports; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F021,Functional,Cash Tracking,,,End user,,"Can a user create cash wallets for physical cash in PLN, EUR, USD, and other currencies?",,High,7,YES,YES,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Wallet model; multi-currency support; UI; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F022,Functional,Cash Tracking,,,End user,,"Can a user record cash held in multiple locations such as wallet, home safe, or office drawer?",,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Location field; balance views; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F023,Functional,Accounts,,,End user,,"Can a user track prepaid cards, gift cards, and payment wallet balances?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Account types; UI; ledger handling; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F024,Functional,Accounts,,,End user,,"Can a user track debit, credit, savings, brokerage, pension, and loan accounts in one system?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Account taxonomy; reports; UI; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F025,Functional,Balances,,,End user,,"Can a user see current balance, available balance, and booked balance separately where relevant?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Balance model; UI cards; provider mapping; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F026,Functional,Transactions,,,End user,,Can the platform distinguish cleared transactions from pending transactions?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Transaction status model; UI; sync mapping; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F027,Functional,Transactions,,,End user,,Can the platform ingest historical transactions from bank feeds for a configurable lookback period?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Sync config; provider requests; imported history; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F028,Functional,Imports,,,End user,,"Can a user import transactions from CSV, XLSX, or PDF statements?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Import UI; parsers; sample files; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F029,Functional,Imports,,,End user,,"Can imported files be mapped interactively to account, date, amount, merchant, currency, and category fields?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Mapping UI; parser rules; saved mappings; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F030,Functional,Imports,,,End user,,Can duplicate transactions be detected across imports and bank syncs?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Dedup logic; matching rules; test cases,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F031,Functional,Transactions,,,End user,,"Can a user manually create income, expense, transfer, refund, fee, and adjustment transactions?",,High,7,YES,NO,MEDIUM,LOW,YES,NO,NO,YES,NO,NO,NO,NO,NO,Transaction form; API; ledger entries; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F032,Functional,Transfers,,,End user,,Can internal transfers between own accounts be recognized automatically instead of counted as income and expense?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Transfer detection rules; reports; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F033,Functional,Transactions,,,End user,,Can a user split one transaction into multiple categories?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Split UI; ledger logic; reports; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F034,Functional,Transactions,,,End user,,"Can a user attach notes, files, receipts, or invoice images to a transaction?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Attachment flow; storage handling; UI; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F035,Functional,Transactions,,,End user,,Can a user add VAT-related or tax-related tags to a transaction for later filtering?,,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Tag model; filter UI; export fields; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F036,Functional,Categorization,,,End user,,Can a user define custom categories and subcategories?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,YES,NO,NO,NO,NO,NO,NO,Category management UI; DB model; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
