audit_id,domain,module,capability,feature_area,user_role,scenario_type,question,acceptance_intent,priority,weight,release_blocker,market_relevance_pl,data_sensitivity,security_impact,requires_backend,requires_frontend,requires_database,requires_api,requires_async_jobs,requires_integrations,requires_permissions,requires_audit_log,requires_encryption,expected_evidence,positive_code_signals,negative_code_signals,manual_test_steps,expected_outcome,edge_cases,dependencies,applicability,analysis_status,verdict,confidence_score,confidence_reason,code_references,api_endpoints,db_entities,ui_locations,test_artifacts,missing_artifacts,gap_summary,remediation_hint,owner,notes
F001,Functional,Authentication & Onboarding,,,End user,,Can a new user create an account using email and password?,,High,7,YES,NO,MEDIUM,LOW,YES,YES,YES,YES,NO,NO,NO,NO,NO,UI flow; API endpoint; DB records; automated tests,,,,,,,Applicable,COMPLETED,SUPPORTED,100,JWT Auth implemented,"app/api/v1/endpoints/auth.py, app/models/user.py, app/crud/user.py","/login, /register, /me",users,Login/Register Screens,,None,None,None,Backend/Security,
F002,Functional,Authentication & Onboarding,,,End user,,"Can a user register using Google, Apple, or another federated identity provider?",,Medium,4,NO,NO,MEDIUM,LOW,YES,NO,NO,YES,NO,NO,NO,YES,NO,OAuth flow; API config; login audit; automated tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No OAuth endpoints or provider integration found,app/api/v1/endpoints/auth.py,None,users lacks federated IDs,,,"OAuth callback, provider adapters, frontend flows",Federated login is missing,Implement OAuth2 wrappers (Google/Apple) and update User model,Backend/Security,
F003,Functional,Authentication & Onboarding,,,End user,,Can registration require email verification before access is granted?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Verification workflow; token handling; email logs; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,Registration activates account immediately,app/api/v1/endpoints/auth.py,/register,None,,,"Verification email sender, verification token model, /verify endpoint",No email verification workflow,Add is_email_verified logic to auth flow,Backend/Security,
F004,Functional,Localization,,,End user,,Can the platform support Polish language as a full primary interface?,,High,7,YES,YES,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Localized UI; translation files; locale switch; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F005,Functional,Localization,,,End user,,Can the platform support English as a secondary interface?,,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Localized UI; translation files; locale switch; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F006,Functional,Settings & Currency,,,End user,,Can a user define PLN as the default base currency?,,High,7,YES,YES,MEDIUM,LOW,NO,YES,YES,NO,NO,NO,NO,NO,NO,Settings UI; currency config; DB field; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F007,Functional,Settings & Currency,,,End user,,Can a user later change the base currency without corrupting historical data?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,Conversion logic; migration handling; reports; tests,,,,,,,Applicable,NOT_STARTED,UNCLEAR,0,Not yet analyzed,,,,,,No evidence reviewed yet,,,,
F008,Functional,Tenant & Workspace,,,End user,,"Can one user manage multiple households, personal profiles, or finance spaces?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Workspace model; UI switcher; authorization checks; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,"No workspace model exists, data maps direct to User",app/models/user.py,None,None,,,"Tenant/Workspace model, updated foreign keys",No support for multiple households/workspaces,Shift ownership from User to Workspace ID,Backend/Security,
F009,Functional,Tenant & Workspace,,,End user,,"Can a user create separate portfolios for personal finances, family finances, and business-like side activity?",,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,YES,NO,NO,NO,NO,NO,NO,Portfolio model; UI flows; DB separation; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,"No portfolio model exists, data maps direct to User",app/models/user.py,None,None,,,"Portfolio entity, UI switcher",No support for separate internal portfolios,Abstract accounts/budgets under a Portfolio ID,Backend/Security,
F010,Functional,Collaboration,,,End user,,"Can a user invite a spouse, partner, accountant, or advisor with limited permissions?",,Medium,4,NO,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,YES,NO,NO,Invite flow; role assignment; email invite; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No invite mechanism or multi-user sharing on single accounts,None,None,None,,,"Invite codes, tokens, email templates",Cannot collaborate on finances,Requires Workspace implementation first,Backend/Security,
F011,Functional,Collaboration,,,End user,,"Can permissions distinguish owner, editor, read-only viewer, and auditor roles?",,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,YES,NO,NO,RBAC matrix; server authorization; UI role controls; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No RBAC or role definitions in User model,app/models/user.py,None,users lacks role/permission fields,,,"Roles table, permission matrix, UI editor",No role-based access control,Add Role enums and authorization dependencies,Backend/Security,
F012,Functional,Audit Trail,,,End user,,Can the system maintain a full audit trail of who changed what and when?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,NO,NO,NO,YES,NO,Audit logs; before/after values; timestamps; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No audit logs exist in codebase,None,None,None,,,"AuditLog model, middleware, event dispatchers",Zero audit traceability for changes,Implement SQLAlchemy event listeners for audit rows,Backend/Security,
F013,Functional,Accounts,,,End user,,Can a user add manual bank accounts without connecting to a bank feed?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,YES,NO,NO,NO,NO,NO,NO,Manual account UI; DB schema; balance handling; tests,,,,,,,Applicable,COMPLETED,SUPPORTED,100,Account model supports manual bank creation,app/models/account.py,,,,,None,None,None,Backend/BA,
F014,Functional,Open Banking,,,End user,,Can a user connect Polish bank accounts through open banking integrations?,,High,7,YES,YES,MEDIUM,LOW,NO,NO,NO,NO,NO,YES,NO,NO,NO,Bank connection flow; provider integration; consent records; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No PolishAPI / provider integration code exists,None,,,,,Account provider adapters,Cannot connect via Open Banking,Add open-banking module,Backend/BA,
F015,Functional,Open Banking,,,End user,,Can the user refresh connected account balances on demand?,,High,7,YES,NO,MEDIUM,LOW,NO,NO,NO,NO,YES,NO,NO,NO,NO,Refresh action; sync job; updated balances; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No provider integrations,None,,,,,Sync jobs,Cannot sync balances,Add Plaid / GoCardless integration,Backend/BA,
F016,Functional,Open Banking,,,End user,,Can the system detect when bank consent has expired and guide the user to renew it?,,High,7,YES,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Consent expiry logic; UI prompt; logs; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No consent token persistence,None,,,,,Db records for consent expiry,No consent tracking,Add Consent entity,Backend/BA,
F017,Functional,Open Banking,,,End user,,Can a user connect more than one account from the same bank?,,Medium,4,NO,NO,MEDIUM,LOW,NO,YES,NO,NO,NO,NO,NO,NO,NO,Provider mapping; account linking; UI state; tests,,,,,,,Applicable,COMPLETED,NOT_SUPPORTED,100,No bank sync,None,,,,,multi account sync logic,No open banking mapping,Add linked-account entity,Backend/BA,
